Sigla	Nome	H-index	Class
LAW 	The Linguistic Annotation Workshop 	13	B3
MGC 	International Workshop on Middleware for Grid Computing 	13	B3
MIC 	Metaheuristic International Conference 	13	B3
MOBILITY 	Mobility Conference 	13	B3
MWC 	IEEE CAS Symposium on Emerging Technologies: Frontiers of Mobile and Wireless Communication 	13	B3
NEW2AN 	Next Generation Teletraffic and Wired/Wireless Advanced Networking 	13	B3
PRIS 	International Workshop on Pattern Recognition in Information Systems 	13	B3
PRO-­‐VE 	IFIP Working Conference on Virtual Enterprises 	13	B3
PSIVT 	Pacific-­‐Rim Symposium on Image and Video Technology 	13	B3
SBLP 	Simpósio Brasileiro de Linguagens de Programação 	13	B3
SCCC 	International Conference of the Chilean Computer Science Society 	13	B3
SIES 	International Symposium on Industrial Embedded Systems 	13	B3
SWAP 	Workshop on Semantic Web Applications and Perspectives 	13	B3
WICON 	International Conference on Wireless Internet 	13	B3
WISP 	IEEE International Workshop on Intelligent Signal Processing 	13	B3
IFAC 	Triennial Event of International Federation of Automatic Control 	12	B2
MMSP 	International Workshop on Multimedia Signal Processing 	12	B2
ACL2 	Workshop on the ACL2 Theorem Prover and Its Applications 	12	B3
AdCom 	International Conference on Advanced Computing and Communications 	12	B3
CBMI 	International Workshop on Content-­‐Based Multimedia Indexing 	12	B3
CIDM 	IEEE Symposium on Computational Intelligence and Data Mining 	12	B3
CIS 	International Conference on Computational Intelligence and Security 	12	B3
CODAS 	International Symposium on Cooperative Database Systems for Advanced Applications 	12	B3
DepCoS-­‐RELCOMEX 	International Conference on Dependability of Computer Systems 	12	B3
DIPES 	IFIP Working Conference on Distributed and Parallel Embedded Systems 	12	B3
DSM 	Workshop on Domain-­‐Specific Modeling 	12	B3
E2EMON 	IEEE/IFIP Workshop on End-­‐to-­‐End Monitoring Techniques and Services 	12	B3
ECCTD 	European Conference on Circuit Theory and Design 	12	B3
EON 	Workshop on Evaluation of Ontology-­‐based Tools 	12	B3
ESS 	European Simulation Symposium 	12	B3
ESSDERC 	European Solid-­‐State Device Research Conference 	12	B3
EUROCON 	"The International Conference on ""Computer as a Tool"" "	12	B3
GECON 	Grid Economics and Business Models 	12	B3
GPC 	Advances in Grid and Pervasive Computing 	12	B3
I3E 	IFIP Conference on e-­‐Commerce e-­‐Business and e-­‐Government 	12	B3
ICNSC 	IEEE Intl Networking, Sensing and Control 	12	B3
ICONS 	International Conference on Systems 	12	B3
ICSP 	International Conference on Stochastic Programming 	12	B3
IEEERFID 	IEEE IEEE International Conference on RFID 	12	B3
IIWAS 	Information Integration and Web-­‐based Applications and Services 	12	B3
INDIN 	IEEE International Conference on Industrial Informatics 	12	B3
ISSCS 	International Symposium on Signals Circuits and Systems 	12	B3
JTRES 	International Workshop on Java Technologies for Real-­‐time and Embedded Systems 	12	B3
JURIX 	International Conference on Legal Knowledge and Information Systems 	12	B3
LADC 	Latin-­‐American Symposium on Dependable Computing 	12	B3
LATA 	Language and Automata Theory and Applications 	12	B3
LFCS 	Symposium on Logical Foundations of Computer Science 	12	B3
ML 	IADIS International Conference on Mobile Learning 	12	B3
MODSIM 	International Congress on Modelling and Simulation 	12	B3
NPC 	IFIP International Conference on Network and Parallel Computing 	12	B3
PATAT 	International Conference on the Practice and Theory of Automated Timetabling 	12	B3
PETRA 	International Conference on Pervasive Technologies Related to Assistive Environments 	12	B3
RADECS 	Conference on RADIATION EFFECTS on COMPONENTS and SYSTEMS 	12	B3
SAICSIT 	Conference of the South African Institute of Computer Scientists and Information Technologists 	12	B3
SAM 	International Conference on Security and Management 	12	B3
SEAMS 	International Symposium on Software engineering for adaptive and self-­‐managing systems 	12	B3
TAP 	Tests and Proofs 	12	B3
WEBMEDIA 	Brazilian Symposium on Multimedia and the Web 	12	B3
WMIS 	Workshop on Mobile Information Systems 	12	B3
RSA 	RSA Conference 	11	B1
CICC 	IEEE Custom Integrated Circuits Conference 	11	B2
ACHI 	International Conference on Advances in Computer-­‐Human Interaction 	11	B3
CATA 	International Conference on Computers and their Applications 	11	B3
CIC 	International Conference on Communications in Computing 	11	B3
COOP 	International Conference on the Design of Cooperative Systems 	11	B3
CSNDSP 	International Symposium on Communication Systems, Networks and Digital Signal Processing 	11	B3
DCW 	Workshop on Distributed Communities on the Web 	11	B3
DDECS 	IEEE Workshop on Design and Diagnostics of Electronic Circuits and Systems 	11	B3
DIGITEL 	IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning 	11	B3
DNIS 	Databases in Networked Information Systems 	11	B3
EA 	Workshop on Early Aspects 	11	B3
Evobio 	European Conference on Evolutionary Computation, Machine Learning and Data Mining in Computational Biology 	11	B3
FDG 	Foundations of Digital Games 	11	B3
I-­‐SEMANTICS 	International Conference on Semantic Systems 	11	B3
ICAIS 	International Conference on Adaptive and Intelligent Systems 	11	B3
ICCTA 	International Conference on Computing: Theory and Applications 	11	B3
ICDIM 	International Conference on Digital Information Management 	11	B3
ICDS 	International Conference on Digital Society 	11	B3
ICIT 	IEEE International Conference on Industrial Technology 	11	B3
IESA 	International Conference on Interoperability for Enterprise Software and Applications 	11	B3
ISAM 	IEEE International Symposium on Assembly and Manufacturing 	11	B3
ISBRA 	International Symposium on Bioinformatics Research and Applications 	11	B3
ISTA 	International Conference on Information Systems Technology and its Application 	11	B3
KSEM 	International Conference on Knowledge Science, Engineering and Management 	11	B3
MABS 	International Workshop on Multi-­‐Agent-­‐Based Simulation 	11	B3
MMSys 	ACM SIGMM Conference on Multimedia Systems 	11	B3
MTV 	Microprocessor Test and Verification 	11	B3
PACIFICVIS 	IEEE Pacific Visualization Symposium 	11	B3
PQCrypto 	International Workshop on Post-­‐Quantum Cryptography 	11	B3
ProMAS 	International Workshop on Programming Multi-­‐Agent Systems 	11	B3
SAMT 	Semantics and Digital Media Technologies 	11	B3
SBQS 	Simpósio Brasileiro de Qualidade de Software 	11	B3
SEAL 	International Conference on Simulated Evolution and Learning 	11	B3
SECURWARE 	International Conference on Emerging Security Information, Systems, and Technologies 	11	B3
SELMAS 	International Workshop on Software Engineering for Large-­‐Scale Multi-­‐ Agent Systems 	11	B3
SYROCO 	International IFAC Symposium on Robot Control 	11	B3
TASE 	IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering 	11	B3
UBICOMM 	International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies 	11	B3
VIIP 	International Conference on Visualization: Imaging and Image Processing 	11	B3
W2GIS 	International Workshop on Web and Wireless Geographical Information Systems 	11	B3
WCCM 	World Congress on Computational Mechanics 	11	B3
WEBIST 	International Conference on Web Information Systems and Technologies 	11	B3
WIE 	Workshop sobre Informática na Escola 	11	B3
WITS 	Workshop on Information Technologies and Systems 	11	B3
WoLLIC 	Workshop on Logic, Language, Information and Computation 	11	B3
AGILE_A 	AGILE Conference on Geographic Information Science 	10	B3
ICA3PP 	International Conference on Algorithms and Architectures for Parallel Processing 	10	B3
ICON 	IEEE International Conference on Networks 	10	B3
INOC 	International Network Optimization Conference 	10	B3
PLoP 	Pattern Languages of Programs Conference 	10	B3
WAIS 	International Workshop on Artificial Intelligence and Statistics 	10	B3
AIAI 	IFIP International Conference on Artificial Intelligence Applications and Innovations 	10	B4
ANTS_A 	International Workshop on Ant Colony Optimization and Swarm Intelligence 	10	B4
ASONAM 	International Conference on Advances in Social Network Analysis and Mining 	10	B4
BASYS 	IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems 	10	B4
CDVE 	Cooperative Design, Visualization and Engineering 	10	B4
CELDA 	Cognition and Exploratory Learning in Digital Age 	10	B4
CLA 	International Conference On Concept Lattices and Their Applications 	10	B4
CNMAC 	Congresso Nacional de Matemática Aplicada e Computacional 	10	B4
COCOA 	Conference on Combinatorial Optimization and Applications 	10	B4
CollECTeR 	Collaborative Electronic Commerce Technology and Research 	10	B4
COMMONSENSE 	Symposium on Logical Formalizations of Commonsense Reasoning 	10	B4
CompLife 	International Symposium on Computational Life Science 	10	B4
DAARC 	Discourse Anaphora and Anaphor Resolution Colloquium 	10	B4
DALT 	International Workshop on Declarative Agent Languages and Technologies 	10	B4
DeLFI 	"Fachtagung ""e-­‐Learning"" der Gesellschaft für Informatik "	10	B4
DNA 	International Meeting on DNA Computing 	10	B4
EGVE 	Eurographics Workshop on Virtual Environments 	10	B4
EuroCG 	European Workshop on Computational Geometry 	10	B4
HealthCom 	International Workshop on Enterprise Networking and Computing in Health Care Industry 	10	B4
HIPS 	International Workshop on High-­‐Level Programming Models and Supportive Environments 	10	B4
I&CPS 	IEEE Industrial and Commercial Power Systems Technical Conference -­‐ Conference Record 	10	B4
ICBBE 	International Conference on Bioinformatics and Biomedical Engineering 	10	B4
ICCCAS 	International Conference on Communications, Circuits and Systems 	10	B4
ICCDCS 	International Caribbean Conference on Devices, Circuits and Systems 	10	B4
ICDCIT 	International Conference on Distributed Computing and Internet Technology 	10	B4
ICDCN 	IEEE International Conference on Distributed Computing and Networking 	10	B4
ICINCO 	International Conference on Informatics in Control Automation and Robotics 	10	B4
ICSOFT 	International Conference on Software and Data Technologies 	10	B4
ICUIMC 	International Conference on Ubiquitous Information Management and Communication 	10	B4
ICUMT 	Ultra Modern Telecommunications 	10	B4
IHC 	Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais 	10	B4
IKE 	International Conference on Information and Knowledge Engineering 	10	B4
IMCSIT 	International Multiconference on Computer Science and Information Technology 	10	B4
IMSA 	International Conference on Internet and Multimedia Systems and Applications 	10	B4
IPCV 	International Conference on Image Processing Computer Vision and Pattern Recognition 	10	B4
ISECS 	International Symposium Electronic Commerce and Security 	10	B4
ITP 	Interactive Theorem Proving continues TPHOL) 	10	B4
ITS_A 	International Telecommunications Symposium 	10	B4
IVCNZ 	Image and Vision Computing Conference 	10	B4
IWCIA 	International Workshop on Combinatorial Image Analysis 	10	B4
IWOS 	International Workshop on Self-­‐Organizing Systems 	10	B4
MIS 	Workshop on Multimedia Information Systems 	10	B4
MSE 	International Conference on Microelectronic Systems Education 	10	B4
NAS 	Networking, Architecture, and Storage 	10	B4
NTMS 	New Technologies, Mobility and Security 	10	B4
PADO 	Symposium on Programs as Data Objects 	10	B4
PERFOMANCE 	IFIP International Symposium on Computer Performance Modeling Measurements and Evaluation 	10	B4
RCIS 	International Conference on Research Challenges in Information Science 	10	B4
ROBOCOMM 	IEEE International Conference on Robot Communication and Coordination 	10	B4
SECPERU 	International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing 	10	B4
SIIT 	International Conference on Standardization and Innovation in Information Technology 	10	B4
SITE 	Society for Information Technology and Teacher Education Conference 	10	B4
SOC 	International Symposium on System-­‐on-­‐Chip 	10	B4
SocialCom 	International Conference on Social Computing and its Applications 	10	B4
SoMeT 	Software Methodologies, Tools and Techniques 	10	B4
TextGraphs 	Graph-­‐based Methods for Natural Language Processing 	10	B4
URSW 	Uncertainty Reasoning for the Semantic Web 	10	B4
VECPAR 	International Meeting on High Performance Computing for Computational Science 	10	B4
VG 	IEEE International Workshop on Volume Graphics 	10	B4
Virtual 	International Workshop on Virtual Rehabilitation 	10	B4
WDDD 	Workshop on Duplicating, Deconstructing and Debunking 	10	B4
WKDD 	International Workshop on Knowledge Discovery and Data Mining 	10	B4
WSKS 	World Summit on the Knowledge Society 	10	B4
GAME-­‐ON 	European GAME-­‐ON Conference 	9	B3
IPOM 	IEEE International Workshop on IP Operations and Management 	9	B3
IPT 	Workshop on Immersive Projection Technology 	9	B3
MMCN 	ACM/SPIE Multimedia Computing and Networking 	9	B3
VSMM 	International Conference on Virtual Systems and MultiMedia 	9	B3
WCW 	Web Caching Workshop 	9	B3
AC 	IADIS International Conference on Applied Computing 	9	B4
ACIL 	Advances in Computational Intelligence and Learning 	9	B4
ACMC 	Australasian Computer Music Conference 	9	B4
AGI 	Artificial General Intelligence 	9	B4
AIMS 	Autonomous Infrastructure, Management and Security 	9	B4
AISec 	AI & Security Workshop 	9	B4
AMS 	Autonome Mobile Systeme 	9	B4
ARVLSI 	Conference on Advanced Research in VLSI 	9	B4
BDIM 	IEEE/IFIP International Workshop on Business-­‐Driven IT Management 	9	B4
BEA 	Workshop on the Innovative Use of NLP for Building Educational Applications 	9	B4
BIBM 	IEEE International Conference on Bioinformatics and Biomedicine 	9	B4
CAINE 	ISCA International Conference on Computer Applications in Industry and Engineering 	9	B4
CATCH 	Cybersecurity Applications & Technology Conference For Homeland Security 	9	B4
CATE 	IASTED International Conference on Computers and Advanced Technology in Education 	9	B4
CERMA 	Robotics and Automotive Mechanics Conference Electronics 	9	B4
CGIM 	International Conference on Computer Graphics and Imaging 	9	B4
CIM 	Conference on Interdisciplinary Musicology 	9	B4
CISched 	IEEE Symposium on Computational Intelligence in Scheduling 	9	B4
CISW 	International Conference on Computational Intelligence and Security Workshops 	9	B4
CKC 	Social and Collaborative Construction of Structured Knowledge 	9	B4
CMC 	International Conference on Communications and Mobile Computing 	9	B4
EASE 	International Conference on Evaluation and Assessment in Software Engineering 	9	B4
EATIS 	Euro American Conference on Telematics and Information Systems 	9	B4
EuroIMSA 	IASTED International Conference on Internet and Multimedia Systems and Applications 	9	B4
FMICS 	International Workshop on Formal Methods for Industrial Critical Systems 	9	B4
FPSAC 	International Conference on Formal Power Series and Algebraic Combinatorics 	9	B4
GRAPP 	International Conference on Computer Graphics Theory and Applications 	9	B4
GSDI 	International Conference for Global Spatial Data Infrastructure 	9	B4
HAIS 	International Conference on Hybrid Artificial Intelligence Systems 	9	B4
ICAL 	IEEE International Conference on Automation and Logistics 	9	B4
ICALIP 	International Conference on Audio, Language and Image Processing 	9	B4
ICIAS 	International Conference on Intelligent and Advanced Systems 	9	B4
ICMPC 	International Conference of Music Perception and Cognition 	9	B4
ICTON 	International Conference on Transparent Optical Networks 	9	B4
IDAACS 	Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications 	9	B4
IDC_A 	IEEE Conference on Information Decision and Control 	9	B4
IGCC 	International Green Computing Conference 	9	B4
ISCRAM 	Intelligent Human Computer Systems for Crisis Response and Management 	9	B4
ISICA 	International Symposium on Intelligence Computation and Applications 	9	B4
LCPC 	International Workshop on Languages and Compilers for Parallel Computing 	9	B4
LION 	Learning and Intelligent Optimization 	9	B4
MLMTA 	International Conference on Machine Learning and Applications 	9	B4
MOBIMEDIA 	International Conference on Mobile Multimedia Communications 	9	B4
MOMPES 	IEEE International Workshop on Model Based Methodologies for Pervasive and Embedded Software 	9	B4
OPTIM 	Optimization of Electrical and Electronic Equipment 	9	B4
PAAMS 	International Conference on Practical Applications of Agents and Multiagent Systems 	9	B4
RECONFIG 	International Conference on Reconfigurable Computing and FPGAs 	9	B4
ReCoSoC 	International Workshop on Reconfigurable Communication-­‐centric Systems-­‐on-­‐Chip 	9	B4
SBPO 	Simpósio Brasileiro de Pesquisa Operacional 	9	B4
SECRYPT 	International Conference on Information Security and Cryptology 	9	B4
SEMISH 	Seminário Integrado de Software e Hardware 	9	B4
ServiceWave 	ServiceWave 	9	B4
SLS 	Engineering Stochastic Local Search Algorithms 	9	B4
SMAP 	International Workshop on Semantic and Social Media Adaptation and Personalization 	9	B4
SVR 	Symposium on Virtual and Augmented Reality 	9	B4
TCGOV 	International Conference on E-­‐Government 	9	B4
UNISCON 	International United Information Systems Conference 	9	B4
VLSI-­‐DAT 	International Symposium on VLSI Design, Automation and Test 	9	B4
WASA 	International Conference on Wireless Algorithms Systems and Applications 	9	B4
WEI 	Workshop sobre Educação em Informática 	9	B4
WISA 	Web Information Systems and Applications Conference 	9	B4
WONS 	International Conference on Wireless on Demand Network Systems and Service 	9	B4
WORKS 	Workshop on Workflows in Support of Large-­‐Scale Science 	9	B4
WSOM 	Workshop on Self-­‐Organizing Maps 	9	B4
DYSPAN 	IEEE Symposioum on New Frontiers in Dynamic Spectrum Access Networks 	8	B2
AOIS 	Agent-­‐Oriented Information Systems Workshop 	8	B3
EAMT 	Annual Conference of the European Association for Machine Translation 	8	B3
ISSPA 	IEEE International Symposium on Signal Processing and its Applications 	8	B3
AISM 	Australian Information Security Management Conference 	8	B4
AlgOR 	International conference on Algorithmic Operations Research and Operations Research Case Competition 	8	B4
ANALCO 	Workshop on Analytic Algorithms and Combinatorics 	8	B4
ANNPR 	IAPR International Workshop on Artificial Neural Networks in Pattern 	8	B4
ATMOS 	Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems 	8	B4
BIOCOMP 	International Conference on Bioinformatics and Computational Biology 	8	B4
BPSC 	Business Process and Services Computing 	8	B4
CEA 	International Conference on Computer Engineering and Applications 	8	B4
CISST 	International Conference Image Science: Systems and Technology 	8	B4
CLEI 	Conferencia Latinoamericana de Informática 	8	B4
CLIMA 	International Workshop on Computational Logic in Multi-­‐Agent Systems 	8	B4
CSE 	Conference on Computational Science & Engineering 	8	B4
CTW 	Cologne-­‐Twente Workshop on graphs and combinatorial optimization 	8	B4
DIWeb 	International Workshop on Data Integration over the Web 	8	B4
ENIA 	Encontro Nacional de Intelig 	8	B4
ETCS 	IEEE International Workshop on Education Technology and Computer Science 	8	B4
FTJP 	Workshop on Formal Techniques for Java Programs 	8	B4
GCA 	International Conference on Grid Computing and Applications 	8	B4
GENSIPS 	IEEE International Workshop on Genomic Signal Processing and Statistics 	8	B4
GIIS 	IEEE International Global Information Infrastructure Symposium 	8	B4
HIC 	Health Informatics Conference 	8	B4
Hot-­‐P2P 	International Workshop on Hot Topics in Peer-­‐to-­‐Peer Systems 	8	B4
IC3K 	International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management 	8	B4
ICAART 	International Conference on Agents and Artificial Intelligence 	8	B4
ICCAS 	International Conference on Control Automation and Systems 	8	B4
ICCST 	Annual International Carnahan Conference on Security Technology 	8	B4
ICIRA 	International Conference on Intelligent Robotics and Applications 	8	B4
ICVES 	IEEE International Conference on Vehicular Electronics and Safety 	8	B4
INEX 	International Workshop of the Inititative for the Evaluation of XML Retrieval 	8	B4
IWCC 	IEEE International Workshop on Cluster Computing 	8	B4
IWSSIP 	International Workshop on Systems Signals and Image Processing 	8	B4
LARS 	IEEE Latin American Robotics Symposium 	8	B4
LATW 	IEEE Latin American Test Workshop 	8	B4
LocWeb 	International Workshop on Location and the Web 	8	B4
METMBS 	International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences 	8	B4
MS 	Multimedia Semantics 	8	B4
Nanoarch 	IEEE/ACM International Symposium on Nanoscale Architectures 	8	B4
NEWCAS 	IEEE North-­‐East Workshop on Circuits and Systems 	8	B4
PSC 	International Conference on Pervasive Systems and Computing 	8	B4
SASP 	Symposium on Application Specific Processors 	8	B4
SBSEG 	Simpósio de Segurança da Informação e Sistemas Computacionais 	8	B4
SOAS 	Self-­‐Organization and Autonomous Systems in Computing and Communications 	8	B4
SOFTCOMM 	International Conference on Software Telecommunications and Computer Networks 	8	B4
SPECTS 	International Symposium on Performance Evaluation of Computer and Telecommunication Systems 	8	B4
SRUTI 	Steps to Reducing Unwanted Traffic on the Internet Workshop 	8	B4
STAIRS 	Starting Artificial Intelligence Research Symposium 	8	B4
TRUST 	Trust in Agent Societies 	8	B4
UDMS 	Urban Data Management Symposium 	8	B4
WCCE 	IFIP World Conference on Computers in Education 	8	B4
WCCI 	IEEE World Congress on Computational Intelligence 	8	B4
WD 	IFIP Wireless Days 	8	B4
X-­‐Meeting 	International Conference of the Brazilian Association for Bioinformatics and Computational Biology 	8	B4
AOSE 	Workshop on Agent-­‐Oriented Software Engineering 	7	B3
FOOL 	International Workshop on Foundations of Object-­‐Oriented Languages 	7	B3
ISER 	International Symposium on Experimental Robotics 	7	B3
IWCS 	International Workshop on Computational Semantics 	7	B3
ACIIDS 	Asian Conference on Intelligent Information and Database Systems 	7	B4
ADT 	Algorithmic Decision Theory 	7	B4
ALPIT 	International Conference on Advanced Language Processing and Web Information Technology 	7	B4
ARM 	Workshop on Adaptive and Reflective Middleware 	7	B4
BIOSIGNALS 	International Conference on Bio-­‐inspired Systems and Signal Processing 	7	B4
BLISS 	Bio-­‐inspired, Learning, and Intelligent Systems for Security 	7	B4
BMEI 	International Conference on BioMedical Engineering and Informatics 	7	B4
BSB 	Brazilian Symposium on Bioinformatics 	7	B4
CAMAD 	IEEE Workshop on Computer-­‐Aided Modeling Analysis and Design of Communication Links and Networks 	7	B4
CISWSN 	Collective Intelligence in Semantic Web and Social Networks 	7	B4
Conf-­‐IRM 	International Conference on Information Resources Management 	7	B4
CONFENIS 	IFIP International Conference on Research and Practical Issues of Enterprise Information Systems 	7	B4
DEPEND 	International Conference on Dependability 	7	B4
DSSNS 	IEEE Workshop on Dependability and Security in Sensor Networks and Systems 	7	B4
e-­‐Learning 	IADIS International Conference on e-­‐Learning 	7	B4
ECKM 	European Conference on Knowledge Management 	7	B4
EDUCON 	IEEE Engineering Education Conference 	7	B4
EMMSAD 	Exploring Modelling Methods in Systems Analysis and Design 	7	B4
ENASE 	International Conference on Evaluation of Novel Approaches to Software Engineering 	7	B4
ETELEMED 	International Conference on eHealth, Telemedicine, and Social Medicine 	7	B4
FLINS 	International FLINS Conference on Uncertainty Modeling in Knowledge Engineering and Decision Making 	7	B4
GEFS 	International Workshop on Genetic and Evolving Fuzzy Systems 	7	B4
HCS 	IEEE Hot Chips Symposium 	7	B4
HEALTHINF 	International Conference on Health Informatics 	7	B4
ICCC 	International Conference on Computer Communication 	7	B4
ICE-­‐B 	International Conference on e-­‐Business 	7	B4
ICEIMT 	International Confernce on Enterprise Integration and Modelling Technology 	7	B4
ICER 	International Computing Education Research Workshop 	7	B4
ICSMA 	International Conference on Smart Manufacturing Application 	7	B4
INAP 	Joint Conference on Application of Declarative Programming and Knowledge Management 	7	B4
IPDS 	International Computer Performance and Dependability Symposium 	7	B4
ISDPE 	International Symposium on Data, Privacy and E-­‐commerce 	7	B4
ISoLA 	International Symposium on Leveraging Applications of Formal Methods, Verification and Validation 	7	B4
ISSADS 	IEEE International Symposium and School on Advance Distributed Systems 	7	B4
IWSM-­‐MENSURA 	International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement 	7	B4
LANOMS 	Latin American Network Operations and Management Symposium 	7	B4
LDTA 	Language Descriptions Tools and Applications 	7	B4
MCO 	International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences 	7	B4
Med-­‐Hoc-­‐Net 	IEEE IFIP Annual Mediterranean Ad Hoc Networking Workshop 	7	B4
MSVVEIS 	International Workshop on Modelling, Simulation, Verification and Validation of Enterprise Information Systems 	7	B4
MTAGS 	Workshop on Many-­‐Task Computing on Grids and Supercomputers 	7	B4
NANO 	IEEE Conference on Nanotechnology 	7	B4
NFM 	NASA Formal Methods 	7	B4
NGITS 	International Conference on Next Generation Information Technologies and Systems 	7	B4
PLC 	International Conference on Programming Languages and Compilers 	7	B4
PoEM 	The IFIP WG8.1 Working Conference on the Practice of Enterprise Modelling 	7	B4
QUATIC 	International Conference on the Quality of Information and Communications Technology 	7	B4
SAVCBS 	Workshop on Specification and Verification of Component-­‐Based Systems 	7	B4
SBAI 	Simpósio Brasileiro de Automação Inteligente 	7	B4
SBGames 	Simpósio Brasileiro de Jogos e Entretenimento Digital 	7	B4
SBMF 	Simpósio Brasileiro de Métodos Formais 	7	B4
SBSI 	Simpósio Brasileiro de Sistemas de Informação 	7	B4
SCAN 	GAMM / IMACS International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics 	7	B4
SEA_A 	Software Engineering and Applications 	7	B4
SESS 	Software Engineering for Secure Systems 	7	B4
SGP 	Eurographics Symposium on Geometry Processing 	7	B4
SIN 	International Conference on Security of Information and Networks 	7	B4
SOCASE 	International Workshop on Service-­‐Oriented Computing: Agents, Semantics, and Engineering 	7	B4
SQM 	International Conference on Software Quality Management 	7	B4
SSBSE 	International Symposium on Search Based Software Engineering 	7	B4
SSI 	Symposium on System and Information Security 	7	B4
SSIRI 	Secure System Integration and Reliability Improvement 	7	B4
TALN 	Traitement Automatique des Langues Naturelles 	7	B4
TLT 	International Workshop on Treebanks and Linguistic Theories 	7	B4
VMIL 	Workshop on Virtual Machines and Intermediate Languages 	7	B4
VS-­‐Games 	IEEE Conference in Serious Games and Virtual Worlds 	7	B4
WDDDM 	Workshop on Dependable Distributed Data Management 	7	B4
WFLP 	International Workshop on Functional and Constraint) Logic Programming 	7	B4
WIS 	International Workshop on Wireless Information Systems 	7	B4
CCA 	IEEE International Conference on Control Applications 	6	B3
HLDVT 	IEEE International High Level Design Validation and Test Workshop 	6	B3
ICMCS 	IEEE International Conference on Multimedia Computing and Systems 	6	B3
TFP 	Trends in Functional Programming 	6	B3
WoWMoM 	IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks 	6	B3
ACiD 	Algorithms and Complexity in Durham 	6	B4
AEM 	International Conference on Applied and Engineering Mathematics 	6	B4
AGS 	Agents for Games and Simulations 	6	B4
AIA 	Artificial Intelligence and Applications Conference 	6	B4
ALIFE 	IEEE Symposium on Artificial Life 	6	B4
AMINING 	Active Mining 	6	B4
ANTS_C 	International Symposium on Advanced Networks and Telecommunication Systems 	6	B4
APCIP 	Asia-­‐Pacific Conference on Information Processing 	6	B4
ASID 	International Workshop on Anti-­‐counterfeiting, Security and Identification 	6	B4
AUTOMATA 	Cellular Automata Theory and Applicatins 	6	B4
BCS-­‐HCI 	Conference of the British Computer Society Human Computer Interaction Specialist Group 	6	B4
BIBMW 	IEEE International Conference on Bioinformatics and Biomedicine Workshop 	6	B4
BICS 	Brain-­‐Inspired Cognitive Systems Conference 	6	B4
BIODEVICES 	International Conference on Biomedical Electronics and Devices 	6	B4
CANPC 	Workshop on Communication Architecture and Applications for Network-­‐Based Parallel Computing 	6	B4
CBIS 	Congresso Brasileiro de Informática em Saúde 	6	B4
CCO 	International Conference on Cooperative Control and Optimization 	6	B4
CCRTS 	International Command and Control Research and Technology Symposium 	6	B4
CIBSE 	Ibero-­‐American Conference on Software Engineering 	6	B4
CNSM 	International Conference on Network and Services Management 	6	B4
CODASPY 	Data and Application Security and Privacy 	6	B4
COIN 	Workshop on Coordination Organization Institutions and Norms in Agent Systems 	6	B4
CSEDU 	Internation Conference on Computer Supported Education 	6	B4
DBISP2P 	International Workshop on Databases Information Systems and Peer-­‐to-­‐Peer Computing 	6	B4
DCAI 	International Conference on Distributed Computing and Artificial Intelligence 	6	B4
EC_A 	IADIS International Conference e-­‐Commerce 	6	B4
EIT 	IEEE International Conference on Electro/Information Technology 	6	B4
ePart 	International Conference on Electronic Participation 	6	B4
EpiRob 	International Conference on Epigenetic Robotics 	6	B4
ETHICOMP 	International Conference on the Social and Ethical Impacts of Information and Communication Technologies 	6	B4
FOMI 	Formal Ontologies Meet Industry 	6	B4
GREENCOM 	Green Computing and Communications 	6	B4
GREENCOM-­‐CPSCOM 	IEEE-­‐ACM International Conference on Green Computing and Communications and International Conference on Cyber Physical and Social Computing 	6	B4
HIKM 	Healthcare Information and Knowledge Management 	6	B4
I2TS 	Information and Telecommunication Technologies 	6	B4
IBERCHIP 	Workshop Iberchip 	6	B4
IBIMA 	International Business Information Management 	6	B4
ICCMS 	International Conference on Computer Modeling and Simulation 	6	B4
ICCSE 	International Conference on Computer Science & Education 	6	B4
ICEB 	International Conference on Electronic Business 	6	B4
ICETC 	International Conference on Education Technology and Computer 	6	B4
ICHL 	International Conference on Hybrid Learning and Education 	6	B4
ICMLC 	International Conference on Machine Learning and Cybernetics 	6	B4
IHI 	IHI ACM SIGHIT International Health Informatics Symposium 	6	B4
InSITE 	Informing Science and IT Education Conference 	6	B4
IRMA 	Information Resources Management Association International Conference 	6	B4
ISECON 	Information Systems Education Conference 	6	B4
ISSDQ 	International Symposium on Spatial Data Quality 	6	B4
IST 	IEEE International Workshop on Imaging Systems and Techniques 	6	B4
JADT 	International conference on statistical analysis of textual data 	6	B4
LANC 	Latin America Networking Conference 	6	B4
